Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
546,Chucky Hepburn,22,TOR,PG,2,0,13,-13.5,.000,.833,.000,0.0,8.8,4.3,17.6,3.8,0.0,14.3,23.1,-0.1,0.0,-0.1,-0.442,-20.7,-3.2,-23.9,-0.1,,hepbuch01
547,Vladislav Goldin,24,MIA,C,4,0,12,14.1,.667,.000,.000,8.5,25.8,17.1,22.6,0.0,7.5,25.0,13.5,0.0,0.0,0.0,.142,-5.0,5.8,0.8,0.0,,goldivl01
548,David Roddy,24,DEN,PF,2,0,12,10.1,.258,1.000,.667,9.8,27.1,18.8,18.9,4.1,0.0,0.0,14.1,0.0,0.0,0.0,.062,-5.1,1.1,-4.0,0.0,,roddyda01
549,John Tonje,24,BOS,SG,3,0,11,4.3,.347,1.000,1.000,0.0,19.6,10.0,10.4,0.0,0.0,0.0,11.4,0.0,0.0,0.0,.036,-11.2,-2.1,-13.2,0.0,,tonjejo01
550,Tyler Smith,21,DAL,PF,2,0,11,-9.9,.218,.833,.333,0.0,18.8,9.6,0.0,4.3,0.0,22.5,33.9,-0.1,0.0,-0.1,-0.517,-19.1,-5.3,-24.4,-0.1,,smithty02
551,Tosan Evbuomwan,24,NYK,SF,5,0,8,-0.3,.000,.000,.000,13.7,13.9,13.8,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,-0.024,-8.5,-3.0,-11.6,0.0,,evbuoto01
552,Enrique Freeman,25,MIN,PF,2,0,8,9.1,,,,0.0,40.5,20.7,0.0,0.0,11.0,,0.0,0.0,0.0,0.0,.104,-1.2,3.5,2.3,0.0,,freemen01
553,Stanley Umude,26,SAS,SG,2,0,7,11.6,.500,.500,.000,0.0,0.0,0.0,19.1,6.9,0.0,0.0,12.0,0.0,0.0,0.0,.162,-6.6,6.9,0.3,0.0,,umudest01
554,Colby Jones,23,DET,SG,1,0,7,13.1,.333,.667,.000,0.0,62.7,31.7,38.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,.123,-3.2,5.5,2.4,0.0,,jonesco02
555,Max Shulga,23,BOS,SG,4,0,6,-11.4,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,-0.152,-19.6,-2.5,-22.1,0.0,,shulgma01
556,Noa Essengue,19,CHI,PF,2,0,6,-12.0,.000,.667,.000,0.0,0.0,0.0,0.0,7.9,0.0,0.0,21.0,-0.1,0.0,-0.1,-0.418,-20.6,-3.0,-23.6,0.0,,essenno01
557,Trentyn Flowers,20,CHI,SF,2,0,6,16.8,.667,.333,.000,18.1,0.0,8.9,30.7,0.0,0.0,25.0,28.0,0.0,0.0,0.0,.026,1.9,-2.7,-0.9,0.0,,flowetr01
558,Sean Pedulla,23,LAC,PG,1,0,6,43.9,.750,1.000,.000,0.0,18.9,9.7,100.0,0.0,0.0,0.0,29.5,0.1,0.0,0.1,.692,18.9,-3.8,15.1,0.0,,pedulse01
